BusinessTravel,DistanceFromHome,EmployeeCount,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,PerformanceRating,EmployeeID
Travel_Frequently,3,1,1,1,3,3,54
Travel_Rarely,16,1,3,4,1,3,55
Travel_Frequently,9,1,4,2,3,3,56
Travel_Rarely,1,1,3,1,3,4,57
Travel_Frequently,7,1,3,4,3,3,58
Travel_Rarely,1,1,3,3,3,4,59
Travel_Rarely,7,1,3,2,2,3,60
Travel_Rarely,15,1,3,2,2,4,61
Travel_Rarely,1,1,3,2,3,3,62
Travel_Rarely,13,1,4,3,3,3,63
Travel_Rarely,24,1,4,4,3,3,64
Travel_Rarely,7,1,1,4,2,3,65
Travel_Rarely,9,1,1,4,2,3,66
Travel_Rarely,13,1,4,4,3,3,67
Travel_Frequently,2,1,3,3,3,3,68
Travel_Frequently,19,1,3,4,3,3,69
Travel_Rarely,1,1,4,3,2,3,70
Travel_Frequently,4,1,2,4,2,3,71
Travel_Rarely,4,1,4,3,3,4,72
Travel_Frequently,14,1,3,3,4,3,73
Non-Travel,2,1,3,2,3,3,74
Travel_Frequently,1,1,4,3,2,3,75
Travel_Rarely,7,1,3,1,2,4,76
Travel_Rarely,3,1,4,4,3,3,77
Travel_Rarely,2,1,2,4,2,3,78
Travel_Rarely,29,1,2,1,2,3,79
Travel_Rarely,8,1,2,4,3,4,80
Travel_Rarely,10,1,4,3,3,3,81
Travel_Rarely,11,1,2,2,3,3,82
Travel_Rarely,1,1,4,4,2,3,83
Travel_Rarely,28,1,3,4,3,3,84
Travel_Rarely,6,1,3,4,NA,3,85
Travel_Rarely,3,1,4,2,3,3,86
Travel_Rarely,16,1,3,2,3,3,87
Travel_Rarely,20,1,3,4,2,4,88
Travel_Rarely,9,1,4,2,3,3,89
Travel_Frequently,1,1,2,3,3,3,90
Travel_Rarely,3,1,1,4,3,4,91
Non-Travel,22,1,4,3,2,4,92
Travel_Rarely,7,1,3,3,3,3,93
Travel_Rarely,2,1,3,2,3,3,94
Travel_Rarely,13,1,1,3,1,3,95
Travel_Rarely,8,1,3,1,3,3,96
Non-Travel,25,1,4,3,4,4,97
Travel_Rarely,28,1,3,3,3,3,98
Travel_Rarely,2,1,1,4,3,3,99
Travel_Frequently,9,1,1,2,3,3,100
Non-Travel,28,1,4,4,3,4,101
Travel_Frequently,6,1,1,4,3,3,102
Travel_Rarely,21,1,4,3,3,3,103
Travel_Rarely,8,1,4,3,3,3,104
Non-Travel,1,1,1,4,2,3,105
Travel_Rarely,28,1,4,3,3,4,106
Travel_Rarely,5,1,3,1,3,3,107
Non-Travel,2,1,3,3,4,3,108
Travel_Frequently,16,1,1,2,3,3,109
Travel_Rarely,9,1,4,4,3,3,110
Travel_Rarely,8,1,3,3,3,4,111
Travel_Rarely,1,1,NA,2,3,4,112
Travel_Rarely,10,1,3,2,3,3,113
Travel_Rarely,1,1,4,4,3,3,114
Travel_Rarely,29,1,3,2,3,3,115
Travel_Rarely,2,1,4,2,3,3,116
Travel_Rarely,2,1,2,4,3,3,117
Travel_Rarely,2,1,2,3,3,3,118
Travel_Rarely,1,1,3,4,2,4,119
Travel_Rarely,15,1,4,3,3,3,120
Non-Travel,7,1,1,4,2,4,121
Travel_Rarely,26,1,3,4,3,3,122
Travel_Rarely,1,1,4,3,4,3,123
Travel_Rarely,3,1,3,2,3,3,124
Travel_Frequently,14,1,3,NA,3,3,125
Travel_Rarely,16,1,1,2,3,3,126
Travel_Rarely,1,1,2,3,3,3,127
Travel_Frequently,3,1,3,4,3,3,128
Travel_Rarely,10,1,4,1,2,3,129
Travel_Rarely,6,1,4,2,3,3,130
Travel_Rarely,2,1,2,1,3,3,131
Travel_Rarely,9,1,3,2,2,3,132
Travel_Rarely,10,1,1,2,3,3,133
Travel_Rarely,6,1,2,3,3,3,134
Travel_Rarely,9,1,1,1,2,4,135
Non-Travel,28,1,3,3,3,4,136
Travel_Rarely,10,1,2,1,1,3,137
Travel_Frequently,14,1,4,4,3,3,138
Travel_Rarely,27,1,3,3,3,3,139
Travel_Rarely,7,1,2,4,3,3,140
Non-Travel,1,1,2,3,3,4,141
Travel_Rarely,24,1,4,1,3,3,142
Travel_Frequently,26,1,2,3,3,4,143
Travel_Frequently,20,1,3,1,2,3,144
Travel_Rarely,5,1,2,3,3,3,145
Travel_Rarely,7,1,2,1,3,3,146
Travel_Rarely,7,1,3,1,3,3,147
Travel_Rarely,5,1,1,1,3,3,148
Travel_Rarely,26,1,4,3,3,4,149
Travel_Rarely,2,1,1,4,2,3,150
Travel_Rarely,12,1,4,4,1,3,151
Travel_Frequently,10,1,1,3,3,3,152
Travel_Rarely,25,1,3,4,3,4,153
Travel_Rarely,10,1,1,1,1,3,154
Travel_Rarely,19,1,3,3,2,3,155
Travel_Frequently,18,1,4,4,4,3,156
Travel_Rarely,27,1,1,2,3,3,157
Travel_Frequently,5,1,4,3,2,4,158
Travel_Frequently,3,1,4,4,3,3,159
Travel_Rarely,26,1,3,3,3,3,160
Travel_Rarely,3,1,1,4,1,4,161
Non-Travel,15,1,3,4,1,3,162
Travel_Rarely,8,1,2,3,3,3,163
Travel_Rarely,19,1,3,2,4,3,164
Travel_Rarely,4,1,1,4,4,3,165
Non-Travel,2,1,3,1,3,3,166
Travel_Rarely,2,1,1,4,2,3,167
Travel_Rarely,10,1,2,3,3,3,168
Non-Travel,10,1,3,4,2,4,169
Travel_Frequently,16,1,3,1,4,4,170
Travel_Rarely,1,1,1,4,3,3,171
Travel_Rarely,4,1,1,3,1,4,172
Travel_Rarely,15,1,4,3,3,3,173
Travel_Rarely,2,1,3,3,3,3,174
Travel_Rarely,8,1,4,3,3,3,175
Travel_Rarely,2,1,3,4,3,3,176
Travel_Rarely,7,1,3,2,4,3,177
Travel_Rarely,10,1,2,3,4,4,178
Travel_Rarely,5,1,1,4,3,4,179
Travel_Rarely,2,1,4,2,3,3,180
Travel_Rarely,12,1,4,3,3,4,181
Travel_Frequently,22,1,1,3,3,3,182
Travel_Frequently,17,1,2,1,3,4,183
Travel_Frequently,2,1,2,3,3,3,184
Non-Travel,3,1,2,4,2,3,185
Travel_Frequently,7,1,3,3,3,3,186
Travel_Rarely,6,1,2,4,3,3,187
Travel_Rarely,1,1,1,2,3,3,188
Non-Travel,3,1,4,4,3,3,189
Travel_Rarely,22,1,2,3,3,3,190
Travel_Rarely,15,1,2,3,3,3,191
Travel_Frequently,12,1,3,3,3,3,192
Travel_Rarely,1,1,2,4,4,3,193
Travel_Rarely,5,1,4,1,2,3,194
Travel_Rarely,2,1,4,2,4,4,195
Travel_Frequently,2,1,NA,3,2,3,196
Travel_Rarely,5,1,4,4,4,3,197
Travel_Rarely,16,1,1,3,3,3,198
Travel_Rarely,2,1,3,4,2,3,199
Travel_Frequently,2,1,2,2,3,3,200
Non-Travel,1,1,3,1,3,3,201
Non-Travel,23,1,1,3,3,3,202
Travel_Rarely,9,1,1,3,3,3,203
Travel_Rarely,16,1,1,3,3,3,204
Travel_Rarely,26,1,4,4,3,3,205
Travel_Rarely,1,1,3,4,1,4,206
Travel_Rarely,8,1,2,4,4,3,207
Travel_Frequently,4,1,1,3,2,3,208
Travel_Rarely,24,1,2,1,3,3,209
Non-Travel,7,1,1,2,3,3,210
Travel_Rarely,2,1,4,1,3,3,211
Non-Travel,7,1,4,3,3,4,212
Travel_Frequently,22,1,4,4,3,3,213
Travel_Rarely,5,1,3,3,3,3,214
Travel_Rarely,1,1,2,2,2,3,215
Travel_Rarely,21,1,4,3,3,3,216
Travel_Rarely,1,1,2,4,3,3,217
Travel_Rarely,19,1,1,2,4,3,218
Travel_Rarely,7,1,4,2,3,3,219
Travel_Frequently,2,1,1,2,3,3,220
Travel_Rarely,2,1,2,3,3,3,221
Travel_Frequently,2,1,1,3,3,4,222
Travel_Frequently,9,1,2,1,4,3,223
Travel_Rarely,6,1,2,4,3,3,224
Travel_Rarely,9,1,2,1,1,3,225
Travel_Rarely,2,1,1,4,3,3,226
Travel_Rarely,1,1,1,4,4,3,227
Travel_Rarely,22,1,1,3,2,3,228
Travel_Rarely,9,1,4,3,2,3,229
Travel_Rarely,17,1,4,2,4,3,230
Travel_Rarely,28,1,3,4,3,3,231
Travel_Rarely,10,1,2,4,2,3,232
Travel_Rarely,2,1,3,1,2,3,233
Travel_Frequently,4,1,4,3,3,3,234
Travel_Rarely,8,1,4,1,1,3,235
Travel_Rarely,29,1,1,3,4,4,236
Travel_Rarely,13,1,3,3,3,4,237
Travel_Rarely,27,1,3,1,3,3,238
Travel_Rarely,16,1,3,3,3,3,239
Travel_Rarely,2,1,4,4,4,3,240
Travel_Rarely,2,1,1,3,3,3,241
Travel_Rarely,13,1,3,3,3,3,242
Travel_Rarely,1,1,1,4,2,3,243
Travel_Frequently,4,1,3,3,3,3,244
Travel_Rarely,24,1,4,1,4,3,245
Travel_Rarely,1,1,2,4,2,3,246
Travel_Frequently,19,1,1,1,3,3,247
Travel_Rarely,7,1,3,4,3,3,248
Travel_Rarely,4,1,3,3,3,3,249
Travel_Rarely,2,1,2,3,2,3,250
Travel_Rarely,10,1,2,4,3,3,251
Travel_Frequently,8,1,3,4,1,4,252
Travel_Rarely,5,1,3,2,4,3,253
Travel_Rarely,8,1,2,2,3,3,254
Travel_Rarely,9,1,1,4,3,3,255
Travel_Rarely,1,1,4,3,3,3,256
Travel_Frequently,15,1,1,1,3,3,257
Non-Travel,2,1,3,3,3,3,258
Travel_Rarely,2,1,1,1,4,3,259
Travel_Rarely,11,1,4,2,3,3,260
Travel_Rarely,16,1,4,4,3,4,261
Travel_Frequently,2,1,2,4,3,3,262
Travel_Rarely,16,1,2,2,3,3,263
Travel_Frequently,4,1,4,4,3,3,264
Travel_Rarely,16,1,4,4,3,3,265
Travel_Rarely,5,1,4,3,3,3,266
Travel_Rarely,18,1,4,2,4,4,267
Travel_Rarely,17,1,1,3,3,3,268
Travel_Rarely,12,1,4,3,3,3,269
Travel_Rarely,2,1,4,4,2,3,270
Travel_Frequently,4,1,2,3,3,3,271
Travel_Rarely,9,1,2,4,2,3,272
Travel_Rarely,10,1,3,1,3,4,273
Travel_Rarely,1,1,3,4,NA,3,274
Travel_Rarely,2,1,4,1,3,3,275
Travel_Frequently,3,1,4,1,3,3,276
Travel_Rarely,7,1,3,3,3,3,277
Travel_Rarely,6,1,2,4,2,4,278
Travel_Rarely,8,1,1,1,3,4,279
Travel_Frequently,29,1,4,1,2,3,280
Travel_Rarely,3,1,4,3,3,3,281
Travel_Rarely,9,1,4,2,3,4,282
Travel_Rarely,2,1,1,2,3,3,283
Non-Travel,10,1,1,1,3,3,284
Travel_Rarely,1,1,3,3,4,3,285
Non-Travel,8,1,1,3,3,3,286
Travel_Frequently,27,1,4,3,2,4,287
Travel_Rarely,8,1,3,4,2,3,288
Travel_Rarely,1,1,3,3,3,3,289
Travel_Frequently,10,1,3,3,3,4,290
Travel_Frequently,26,1,4,4,3,3,291
Travel_Rarely,2,1,2,3,3,3,292
Travel_Rarely,13,1,2,1,4,3,293
Travel_Rarely,2,1,3,2,1,3,294
Travel_Rarely,2,1,3,4,2,3,295
Travel_Rarely,9,1,4,4,2,3,296
Travel_Rarely,10,1,4,1,1,3,297
Travel_Rarely,20,1,4,2,3,3,298
Travel_Rarely,9,1,4,4,3,3,299
Non-Travel,5,1,4,1,4,3,300
Travel_Frequently,4,1,NA,4,3,3,301
Travel_Rarely,10,1,4,3,1,3,302
Travel_Rarely,20,1,2,1,3,3,303
Travel_Rarely,21,1,3,1,4,3,304
Travel_Rarely,1,1,4,4,2,3,305
Travel_Rarely,8,1,3,4,2,3,306
Travel_Rarely,2,1,2,3,3,3,307
Travel_Rarely,23,1,1,3,3,3,308
Travel_Frequently,4,1,2,3,3,3,309
Travel_Rarely,12,1,4,4,3,3,310
Travel_Rarely,7,1,4,1,3,3,311
Non-Travel,7,1,1,1,3,3,312
Non-Travel,1,1,4,4,3,3,313
Travel_Frequently,2,1,1,NA,3,3,314
Travel_Rarely,10,1,2,3,2,3,315
Travel_Rarely,15,1,4,1,2,3,316
Travel_Rarely,14,1,2,4,3,3,317
Travel_Rarely,18,1,4,1,3,3,318
Travel_Frequently,13,1,3,4,3,3,319
Travel_Rarely,2,1,4,1,2,3,320
Travel_Frequently,2,1,1,1,3,3,321
Travel_Rarely,2,1,3,1,3,3,322
Travel_Rarely,5,1,1,4,2,3,323
Travel_Rarely,20,1,4,3,3,3,324
Travel_Frequently,10,1,3,2,3,3,325
Travel_Rarely,10,1,3,1,3,4,326
Travel_Frequently,9,1,2,4,2,3,327
Travel_Rarely,2,1,3,1,3,3,328
Non-Travel,1,1,3,2,3,3,329
Travel_Rarely,29,1,4,3,3,3,330
Travel_Rarely,8,1,3,3,3,3,331
Travel_Rarely,2,1,2,1,3,3,332
Travel_Rarely,3,1,3,3,4,3,333
Travel_Rarely,23,1,1,1,3,3,334
Travel_Rarely,6,1,3,4,2,3,335
Travel_Rarely,6,1,3,2,3,4,336
Travel_Rarely,10,1,3,3,3,3,337
Travel_Rarely,24,1,4,2,3,3,338
Travel_Rarely,10,1,4,3,3,3,339
Travel_Rarely,15,1,4,4,3,3,340
Travel_Rarely,19,1,3,3,2,3,341
Travel_Rarely,2,1,3,2,3,3,342
Travel_Rarely,3,1,3,3,3,3,343
Travel_Frequently,9,1,1,3,3,3,344
Travel_Rarely,7,1,3,4,2,3,345
Travel_Rarely,10,1,2,3,3,3,346
Travel_Rarely,20,1,2,2,2,3,347
Travel_Frequently,4,1,1,1,2,3,348
Travel_Frequently,7,1,3,4,3,3,349
Travel_Rarely,7,1,3,4,4,3,350
Travel_Rarely,16,1,3,4,2,3,351
Travel_Rarely,25,1,2,1,3,3,352
Travel_Rarely,2,1,3,4,3,4,353
Travel_Rarely,1,1,3,3,4,3,354
Travel_Rarely,1,1,2,2,3,3,355
Travel_Rarely,2,1,3,4,1,3,356
Travel_Frequently,22,1,3,3,3,4,357
Non-Travel,1,1,4,4,2,3,358
Travel_Rarely,16,1,1,3,2,3,359
Travel_Rarely,24,1,4,2,2,3,360
Travel_Rarely,17,1,1,1,2,3,361
Travel_Rarely,8,1,1,1,3,3,362
Travel_Rarely,6,1,3,1,2,4,363
Travel_Rarely,10,1,2,4,2,3,364
Travel_Rarely,3,1,2,4,2,4,365
Travel_Frequently,4,1,2,4,2,3,366
Travel_Rarely,6,1,1,4,3,3,367
Travel_Rarely,1,1,4,1,3,3,368
Travel_Rarely,10,1,3,3,2,3,369
Travel_Frequently,1,1,3,4,3,3,370
Travel_Rarely,24,1,4,3,3,3,371
Travel_Rarely,21,1,2,4,3,3,372
Travel_Rarely,2,1,4,4,1,3,373
Travel_Rarely,22,1,1,4,2,3,374
Travel_Frequently,13,1,2,4,3,3,375
Travel_Rarely,14,1,1,1,3,4,376
Travel_Rarely,11,1,3,1,3,3,377
Travel_Rarely,9,1,4,3,3,3,378
Travel_Frequently,8,1,4,2,2,3,379
Non-Travel,21,1,4,4,3,3,380
Travel_Rarely,5,1,3,1,4,3,381
Travel_Rarely,9,1,3,1,3,3,382
Non-Travel,2,1,1,4,2,4,383
Travel_Frequently,12,1,2,2,3,3,384
Travel_Rarely,22,1,2,2,3,3,385
Travel_Rarely,18,1,3,4,2,4,386
Travel_Rarely,16,1,4,4,3,3,387
Travel_Rarely,3,1,2,3,3,3,388
Travel_Rarely,9,1,1,4,3,3,389
Travel_Rarely,1,1,4,2,3,3,390
Travel_Frequently,13,1,3,4,3,3,391
Travel_Rarely,1,1,4,4,3,4,392
Travel_Frequently,1,1,4,4,2,3,393
Travel_Rarely,15,1,3,4,3,3,394
Non-Travel,1,1,1,2,3,3,395
Non-Travel,17,1,1,1,3,4,396
Travel_Rarely,1,1,4,4,3,3,397
Travel_Rarely,7,1,4,2,4,3,398
Travel_Rarely,9,1,1,4,1,3,399
Travel_Rarely,5,1,1,4,3,3,400
Travel_Rarely,26,1,2,1,3,3,401
Travel_Rarely,24,1,1,4,3,3,402
Travel_Frequently,9,1,4,4,2,3,403
Travel_Rarely,7,1,1,2,4,3,404
Travel_Rarely,11,1,3,3,2,3,405
Travel_Rarely,1,1,NA,4,2,3,406
Travel_Rarely,26,1,3,4,2,3,407
Travel_Rarely,2,1,4,4,2,4,408
Travel_Rarely,15,1,2,3,4,3,409
Travel_Rarely,23,1,2,4,2,3,410
Travel_Rarely,10,1,3,3,3,4,411
Travel_Rarely,10,1,4,1,1,3,412
Travel_Rarely,1,1,2,3,3,3,413
Travel_Rarely,12,1,2,2,3,3,414
Travel_Rarely,11,1,3,3,3,3,415
Travel_Rarely,2,1,3,1,3,3,416
Travel_Rarely,2,1,3,2,3,4,417
Travel_Rarely,1,1,2,3,4,3,418
Travel_Rarely,2,1,4,4,1,4,419
Travel_Rarely,25,1,1,2,2,3,420
Travel_Rarely,1,1,4,3,2,3,421
Non-Travel,1,1,4,3,2,3,422
Travel_Rarely,2,1,2,4,3,3,423
Travel_Rarely,6,1,4,1,3,3,424
Non-Travel,18,1,3,2,3,3,425
Travel_Rarely,1,1,3,2,3,3,426
Travel_Rarely,1,1,1,2,2,3,427
Travel_Frequently,11,1,3,1,3,3,428
Travel_Rarely,1,1,4,1,3,3,429
Travel_Rarely,9,1,3,3,3,3,430
Travel_Rarely,15,1,4,2,4,3,431
Travel_Rarely,29,1,1,1,3,3,432
Travel_Rarely,1,1,4,4,1,3,433
Travel_Frequently,1,1,4,2,3,3,434
Travel_Rarely,24,1,3,1,4,4,435
Travel_Rarely,10,1,3,4,3,3,436
Travel_Rarely,1,1,2,4,3,3,437
Travel_Rarely,10,1,1,3,1,3,438
Non-Travel,8,1,3,2,2,3,439
Travel_Frequently,29,1,3,4,3,3,440
Travel_Rarely,1,1,3,3,3,3,441
Travel_Rarely,5,1,4,4,2,3,442
Travel_Rarely,9,1,4,3,3,3,443
Travel_Rarely,9,1,3,3,4,3,444
Travel_Rarely,3,1,3,3,4,3,445
Non-Travel,4,1,3,4,3,4,446
Travel_Rarely,1,1,4,4,3,3,447
Travel_Rarely,1,1,1,3,3,3,448
Non-Travel,2,1,2,2,2,3,449
Travel_Frequently,7,1,3,3,4,3,450
Non-Travel,28,1,1,4,3,3,451
Non-Travel,28,1,3,1,3,4,452
Non-Travel,15,1,4,3,3,3,453
Travel_Rarely,3,1,4,1,3,3,454
Travel_Rarely,2,1,2,4,3,3,455
Travel_Rarely,26,1,4,4,3,3,456
Travel_Rarely,10,1,4,4,2,4,457
Travel_Frequently,1,1,3,2,3,3,458
Travel_Frequently,11,1,1,3,4,3,459
Travel_Rarely,20,1,3,2,3,3,460
Non-Travel,2,1,4,1,3,3,461
Travel_Rarely,18,1,4,4,3,3,462
Travel_Rarely,2,1,1,3,3,3,463
Travel_Rarely,1,1,4,3,3,3,464
Travel_Frequently,13,1,3,3,2,3,465
Travel_Rarely,28,1,4,3,3,3,466
Travel_Rarely,28,1,4,3,3,3,467
Travel_Rarely,24,1,3,2,1,3,468
Travel_Frequently,5,1,3,1,3,3,469
Non-Travel,5,1,2,4,3,3,470
Travel_Rarely,23,1,3,3,3,3,471
Travel_Rarely,6,1,3,3,2,3,472
Travel_Rarely,4,1,2,1,2,3,473
Travel_Rarely,2,1,4,1,3,3,474
Travel_Frequently,8,1,2,2,3,3,475
Travel_Rarely,1,1,4,4,3,4,476
Travel_Rarely,8,1,2,1,2,4,477
Travel_Rarely,2,1,1,3,3,3,478
Travel_Rarely,3,1,3,3,3,3,479
Travel_Rarely,2,1,4,3,3,3,480
Travel_Rarely,2,1,4,4,3,3,481
Travel_Rarely,3,1,1,4,3,3,482
Travel_Rarely,24,1,2,4,2,3,483
Travel_Rarely,23,1,4,3,NA,3,484
Travel_Rarely,27,1,1,4,3,4,485
Travel_Rarely,16,1,3,4,3,3,486
Travel_Rarely,15,1,1,2,1,3,487
Travel_Frequently,26,1,3,2,3,3,488
Non-Travel,19,1,2,3,3,3,489
Travel_Rarely,24,1,NA,4,3,3,490
Non-Travel,21,1,2,1,3,3,491
Travel_Rarely,5,1,1,4,3,3,492
Travel_Rarely,16,1,4,4,3,3,493
Non-Travel,2,1,4,3,3,3,494
Travel_Rarely,2,1,3,1,3,3,495
Travel_Frequently,11,1,4,1,3,3,496
Non-Travel,9,1,2,4,2,3,497
Travel_Rarely,7,1,4,4,4,3,498
Non-Travel,15,1,4,3,3,4,499
Travel_Rarely,6,1,2,4,2,3,500
Travel_Rarely,5,1,2,4,1,3,501
Travel_Rarely,16,1,2,2,3,4,502
Travel_Frequently,8,1,3,2,3,4,503
Travel_Rarely,7,1,1,3,2,3,504
Travel_Frequently,2,1,1,1,3,3,505
Travel_Rarely,2,1,3,3,3,3,506
Travel_Rarely,10,1,4,2,3,3,507
Travel_Frequently,9,1,3,3,3,3,508
Travel_Rarely,5,1,2,3,2,3,509
Travel_Rarely,1,1,4,2,2,4,510
Travel_Rarely,2,1,3,1,2,3,511
Travel_Frequently,3,1,1,3,3,3,512
Travel_Rarely,2,1,4,4,3,3,513
Travel_Rarely,5,1,3,3,3,3,514
Travel_Frequently,1,1,1,3,3,3,515
Travel_Rarely,4,1,4,4,2,3,516
Non-Travel,2,1,3,1,4,3,517
Travel_Rarely,25,1,3,4,3,4,518
Travel_Frequently,8,1,4,4,3,4,519
Travel_Rarely,1,1,3,1,2,3,520
Travel_Rarely,12,1,4,1,3,3,521
Travel_Rarely,23,1,1,3,4,4,522
Non-Travel,19,1,2,1,2,3,523
Travel_Rarely,5,1,1,1,3,3,524
Travel_Rarely,8,1,3,1,2,3,525
Travel_Rarely,1,1,2,3,3,3,526
Travel_Rarely,5,1,3,3,2,3,527
Travel_Rarely,1,1,1,4,3,3,528
Non-Travel,11,1,1,3,3,3,529
Travel_Frequently,23,1,4,2,3,3,530
Travel_Rarely,1,1,3,3,4,3,531
Travel_Rarely,18,1,2,1,3,3,532
Travel_Rarely,23,1,4,4,3,3,533
Travel_Rarely,7,1,4,1,3,4,534
Travel_Frequently,1,1,1,3,3,3,535
Travel_Rarely,1,1,1,3,2,3,536
Travel_Frequently,29,1,1,4,2,3,537
Travel_Rarely,7,1,4,4,3,4,538
Travel_Rarely,25,1,4,4,4,3,539
Travel_Rarely,8,1,1,3,2,3,540
Travel_Rarely,8,1,1,2,3,3,541
Travel_Rarely,11,1,4,1,3,3,542
Travel_Frequently,7,1,1,2,3,3,543
Travel_Frequently,1,1,4,3,3,3,544
Travel_Frequently,9,1,4,2,3,3,545
Non-Travel,1,1,3,4,3,4,546
Non-Travel,2,1,1,4,2,3,547
Non-Travel,1,1,2,3,3,3,548
Travel_Rarely,1,1,2,2,3,3,549
Travel_Rarely,6,1,3,3,3,3,550
Travel_Rarely,8,1,3,4,3,3,551
Travel_Rarely,1,1,4,2,2,3,552
Travel_Rarely,6,1,1,3,3,3,553
Travel_Rarely,7,1,4,2,3,4,554
Travel_Frequently,5,1,3,1,3,3,555
Travel_Frequently,1,1,1,4,3,3,556
Travel_Rarely,1,1,3,3,4,3,557
Travel_Rarely,1,1,4,2,4,3,558
Non-Travel,6,1,3,2,2,3,559
Non-Travel,1,1,1,4,3,3,560
Travel_Frequently,7,1,3,4,3,3,561
Travel_Rarely,2,1,1,2,1,3,562
Travel_Frequently,9,1,4,4,3,3,563
Travel_Rarely,2,1,4,2,3,4,564
Travel_Frequently,9,1,4,3,2,3,565
Travel_Frequently,1,1,4,2,2,3,566
Travel_Rarely,21,1,2,4,3,3,567
Travel_Rarely,4,1,2,4,2,4,568
Travel_Rarely,1,1,3,3,4,3,569
Travel_Frequently,6,1,3,3,3,3,570
Non-Travel,2,1,3,3,3,3,571
Travel_Rarely,3,1,1,1,3,3,572
Travel_Rarely,4,1,2,4,3,3,573
Travel_Frequently,10,1,3,3,2,3,574
Travel_Rarely,23,1,3,4,3,3,575
Travel_Rarely,6,1,4,3,3,3,576
Travel_Rarely,1,1,2,3,2,3,577
Travel_Rarely,6,1,3,3,1,3,578
Travel_Rarely,6,1,4,1,1,3,579
Travel_Frequently,2,1,2,3,2,3,580
Travel_Frequently,2,1,3,1,2,3,581
Travel_Rarely,1,1,2,1,4,4,582
Travel_Rarely,5,1,4,3,3,4,583
Travel_Rarely,7,1,4,2,3,3,584
Travel_Rarely,15,1,3,4,2,3,585
Travel_Rarely,1,1,1,4,3,4,586
Travel_Rarely,7,1,3,NA,3,3,587
Travel_Frequently,26,1,3,4,1,4,588
Travel_Rarely,18,1,3,2,4,3,589
Travel_Frequently,6,1,4,1,3,3,590
Travel_Frequently,3,1,4,4,4,3,591
Travel_Rarely,5,1,1,3,2,3,592
Non-Travel,11,1,3,1,3,3,593
Travel_Rarely,3,1,4,1,3,3,594
Travel_Rarely,26,1,2,4,3,4,595
Travel_Rarely,23,1,3,1,3,3,596
Travel_Rarely,22,1,1,3,2,3,597
Travel_Rarely,14,1,4,4,2,3,598
Travel_Rarely,6,1,1,3,2,3,599
Travel_Rarely,6,1,3,3,3,3,600
Travel_Rarely,6,1,4,3,3,3,601
Travel_Rarely,23,1,2,4,2,3,602
Travel_Frequently,22,1,3,4,3,4,603
Travel_Rarely,2,1,3,1,3,3,604
Non-Travel,20,1,4,3,3,3,605
Travel_Rarely,28,1,2,3,3,3,606
Non-Travel,12,1,1,1,1,3,607
