EmployeeID,Age,Attrition,Department,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
86,29,No,Research & Development,4,Life Sciences,Male,3,Sales Executive,Divorced,39780,1,Y,11,8,0,7,0,7,1,7
87,35,No,Sales,2,Technical Degree,Male,3,Manager,Single,25440,0,Y,13,8,1,17,3,16,0,13
88,23,No,Research & Development,4,Life Sciences,Male,1,Manufacturing Director,Divorced,53990,1,Y,23,8,0,4,2,4,0,2
89,41,No,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,Single,54870,6,Y,19,8,2,8,0,5,1,2
90,47,No,Sales,3,Medical,Female,2,Laboratory Technician,Single,68340,3,Y,16,8,1,5,2,0,0,0
91,42,No,Research & Development,4,Life Sciences,Male,1,Manager,Single,10910,2,Y,22,8,0,16,0,1,0,0
92,29,No,Sales,4,Marketing,Male,2,Human Resources,Married,57360,1,Y,22,8,0,4,1,4,0,2
93,42,No,Sales,4,Medical,Male,3,Research Scientist,Divorced,22260,0,Y,12,8,1,4,3,3,1,0
94,32,No,Research & Development,3,Medical,Male,2,Research Scientist,Married,57470,1,Y,13,8,0,8,0,8,0,7
95,48,No,Sales,4,Medical,Male,4,Sales Executive,Married,98540,3,Y,16,8,1,15,2,0,0,0
96,37,No,Research & Development,5,Technical Degree,Male,2,Manufacturing Director,Divorced,54670,4,Y,12,8,0,13,2,7,6,7
97,30,No,Sales,4,Other,Male,1,Healthcare Representative,Married,53800,7,Y,21,8,1,4,0,2,2,2
98,26,No,Sales,3,Medical,Female,5,Laboratory Technician,Married,51510,1,Y,15,8,3,8,3,8,7,7
99,42,No,Sales,2,Medical,Female,1,Laboratory Technician,Single,21330,3,Y,13,8,2,14,2,1,0,0
100,21,Yes,Research & Development,3,Medical,Female,4,Manufacturing Director,Single,178750,1,Y,12,8,0,3,5,3,1,2
101,36,No,Human Resources,3,Human Resources,Male,2,Laboratory Technician,Single,24320,4,Y,22,8,0,7,4,1,0,0
102,36,No,Research & Development,3,Life Sciences,Female,2,Research Scientist,Married,47710,4,Y,13,8,1,16,2,13,1,12
103,57,No,Research & Development,4,Life Sciences,Male,5,Research Scientist,Married,191610,2,Y,18,8,0,15,2,3,1,2
104,40,No,Research & Development,3,Other,Male,2,Sales Executive,Married,50870,3,Y,14,8,1,10,3,7,1,7
105,21,No,Research & Development,5,Life Sciences,Female,2,Manager,Single,28630,1,Y,14,8,0,3,2,3,2,2
106,33,Yes,Human Resources,2,Human Resources,Female,5,Manager,Single,55610,1,Y,21,8,1,1,3,1,0,0
107,37,No,Research & Development,3,Life Sciences,Male,4,Research Scientist,Married,21440,6,Y,19,8,0,17,3,5,0,3
108,46,No,Sales,4,Marketing,Female,2,Laboratory Technician,Married,30650,2,Y,11,8,0,7,3,1,0,0
109,41,Yes,Research & Development,1,Medical,Female,1,Research Scientist,Single,28100,1,Y,11,8,0,8,3,8,7,7
110,50,No,Research & Development,3,Medical,Female,3,Laboratory Technician,Single,98880,6,Y,15,8,0,20,2,4,1,3
111,40,Yes,Research & Development,3,Medical,Female,1,Healthcare Representative,Married,86280,2,Y,20,8,0,8,2,6,1,0
112,31,No,Research & Development,3,Life Sciences,Male,4,Human Resources,Single,28670,0,Y,24,8,0,3,5,2,2,2
113,21,Yes,Human Resources,2,Human Resources,Male,1,Laboratory Technician,Single,53730,1,Y,12,8,1,1,2,1,0,0
114,29,No,Research & Development,3,Life Sciences,Female,2,Research Director,Single,66670,9,Y,12,8,1,6,6,3,1,2
115,35,No,Research & Development,3,Life Sciences,Female,3,Sales Executive,Single,50030,9,Y,15,8,0,10,2,1,0,0
116,27,No,Sales,3,Life Sciences,Male,1,Sales Executive,Divorced,23670,NA,Y,12,8,1,5,2,5,0,4
117,28,No,Research & Development,2,Medical,Male,3,Manager,Single,28580,1,Y,12,8,0,7,2,7,0,7
118,49,No,Sales,3,Technical Degree,Male,2,Manufacturing Director,Single,52040,8,Y,14,8,1,26,3,5,0,0
119,51,No,Research & Development,2,Life Sciences,Male,1,Sales Executive,Married,41050,4,Y,22,8,1,18,2,7,0,7
120,36,No,Sales,2,Life Sciences,Male,1,Sales Executive,Married,96790,4,Y,12,8,0,6,1,2,2,2
121,34,Yes,Research & Development,3,Life Sciences,Male,1,Sales Representative,Single,56170,8,Y,25,8,1,9,3,5,0,4
122,55,No,Sales,3,Marketing,Male,1,Laboratory Technician,Single,104480,2,Y,13,8,0,30,3,5,1,2
123,24,No,Research & Development,3,Life Sciences,Female,5,Manager,Divorced,28970,1,Y,18,8,3,5,4,5,0,3
124,30,No,Research & Development,3,Life Sciences,Female,2,Manager,Married,59680,1,Y,13,8,0,1,3,1,0,0
125,26,Yes,Sales,3,Life Sciences,Male,2,Manager,Single,75100,0,Y,18,8,3,7,3,6,0,4
126,22,No,Research & Development,5,Other,Male,1,Research Scientist,Married,29910,1,Y,19,8,2,2,3,2,1,2
127,36,No,Research & Development,3,Medical,Female,5,Healthcare Representative,Married,196360,1,Y,12,8,1,10,3,10,9,0
128,30,Yes,Sales,2,Marketing,Male,3,Research Scientist,Single,11290,9,Y,19,8,0,3,2,1,0,0
129,37,No,Research & Development,1,Technical Degree,Male,1,Sales Executive,Divorced,133410,1,Y,14,8,1,18,3,18,12,17
130,40,No,Research & Development,2,Medical,Male,3,Research Scientist,Divorced,43320,7,Y,14,8,2,8,3,5,1,3
131,42,No,Research & Development,3,Medical,Female,4,Manager,Divorced,110310,3,Y,12,8,1,8,2,5,1,2
132,37,No,Sales,1,Marketing,Male,3,Sales Executive,Single,44400,2,Y,11,8,1,18,3,1,0,1
133,43,No,Sales,2,Life Sciences,Female,1,Sales Executive,Divorced,46170,1,Y,11,8,0,25,2,25,3,9
134,40,No,Sales,2,Life Sciences,Female,1,Laboratory Technician,Married,26470,6,Y,13,8,0,20,2,1,0,0
135,54,No,Human Resources,3,Life Sciences,Female,2,Manufacturing Director,Married,63230,4,Y,23,8,1,24,2,4,1,2
136,34,No,Research & Development,3,Medical,Male,1,Laboratory Technician,Married,56770,9,Y,20,8,1,6,3,3,1,2
137,31,No,Research & Development,4,Life Sciences,Male,3,Sales Executive,Married,21870,1,Y,15,8,1,13,2,13,3,12
138,43,No,Sales,3,Life Sciences,Female,1,Manufacturing Director,Married,37480,7,Y,14,8,2,NA,3,3,1,2
139,43,No,Sales,4,Life Sciences,Male,2,Sales Representative,Divorced,39770,4,Y,18,8,1,8,3,5,0,2
140,25,No,Human Resources,2,Human Resources,Male,1,Manufacturing Director,Single,86330,1,Y,19,8,1,5,2,5,1,3
141,37,No,Research & Development,3,Medical,Male,3,Laboratory Technician,Married,20080,3,Y,22,8,0,15,5,13,10,7
142,31,No,Research & Development,1,Medical,Male,3,Laboratory Technician,Married,44400,1,Y,13,8,1,4,2,4,3,2
143,39,No,Research & Development,4,Technical Degree,Female,1,Sales Executive,Divorced,30670,1,Y,20,8,1,21,5,21,1,6
144,56,No,Research & Development,4,Life Sciences,Female,3,Sales Executive,Married,53210,9,Y,14,8,0,36,1,7,7,7
145,30,No,Sales,4,Medical,Female,2,Manufacturing Director,Single,54100,0,Y,17,8,1,6,2,5,4,4
146,41,No,Research & Development,3,Technical Degree,Female,3,Research Scientist,Married,27820,1,Y,14,8,0,10,2,10,0,7
147,28,No,Research & Development,3,Medical,Male,3,Healthcare Representative,Divorced,119570,1,Y,13,8,0,10,2,10,1,8
148,25,Yes,Research & Development,2,Life Sciences,Female,3,Laboratory Technician,Married,26600,5,Y,13,8,0,6,3,2,0,2
149,52,No,Research & Development,2,Life Sciences,Female,2,Sales Representative,Married,33750,2,Y,21,8,0,28,2,5,0,4
150,45,No,Research & Development,3,Medical,Female,1,Sales Executive,Married,50980,3,Y,14,8,1,8,4,2,0,2
151,52,No,Research & Development,3,Medical,Male,2,Research Scientist,Married,48780,2,Y,11,8,1,31,3,5,1,4
152,42,No,Sales,3,Marketing,Female,2,Healthcare Representative,Divorced,28370,2,Y,13,8,1,19,0,5,0,2
153,30,No,Sales,3,Marketing,Male,1,Sales Executive,Single,24060,2,Y,20,8,1,11,5,5,0,2
154,60,No,Research & Development,3,Life Sciences,Female,1,Manufacturing Director,Married,22690,5,Y,18,8,1,33,4,29,11,10
155,46,No,Sales,4,Marketing,Female,1,Sales Executive,Divorced,41080,2,Y,14,8,0,19,5,10,0,8
156,42,No,Research & Development,4,Technical Degree,Male,4,Sales Executive,Married,132060,0,Y,13,8,2,7,2,6,0,4
157,24,Yes,Research & Development,2,Medical,Male,1,Research Scientist,Single,104220,1,Y,17,8,1,6,0,5,1,4
158,34,Yes,Research & Development,3,Medical,Male,2,Research Scientist,Divorced,137440,0,Y,20,8,1,3,3,2,1,0
159,38,No,Sales,3,Marketing,Female,2,Sales Executive,Married,49070,1,Y,11,8,1,1,3,1,0,0
160,40,No,Sales,4,Marketing,Female,1,Sales Executive,Married,34820,0,Y,18,8,1,21,2,20,1,12
161,26,No,Research & Development,2,Medical,Female,4,Healthcare Representative,Divorced,24360,1,Y,24,8,0,3,2,3,0,2
162,30,No,Research & Development,3,Medical,Female,2,Sales Executive,Married,23800,4,Y,18,8,3,9,2,5,1,4
163,29,No,Research & Development,3,Medical,Female,3,Manufacturing Director,Married,194310,1,Y,11,8,0,10,3,10,0,7
164,29,Yes,Research & Development,4,Life Sciences,Male,3,Research Scientist,Married,17900,5,Y,16,8,1,6,4,2,1,1
165,19,Yes,Research & Development,3,Medical,Male,1,Sales Executive,Single,76440,1,Y,15,8,2,1,2,1,0,0
166,30,No,Research & Development,4,Life Sciences,Female,3,Research Scientist,Married,51310,0,Y,15,8,1,10,2,9,7,8
167,57,No,Research & Development,2,Life Sciences,Male,4,Research Scientist,Divorced,63060,3,Y,12,8,1,32,3,1,0,0
168,50,No,Sales,4,Life Sciences,Female,3,Manager,Married,47870,0,Y,12,8,0,28,3,27,15,7
169,30,No,Sales,2,Life Sciences,Male,3,Laboratory Technician,Single,188800,0,Y,22,8,1,12,3,11,6,7
170,60,No,Research & Development,3,Life Sciences,Female,4,Laboratory Technician,Married,23390,4,Y,20,8,0,22,4,18,13,11
171,47,No,Research & Development,3,Technical Degree,Male,5,Manufacturing Director,Divorced,135700,5,Y,16,8,2,20,2,5,0,4
172,46,No,Sales,1,Technical Degree,Male,1,Laboratory Technician,Married,67120,6,Y,21,8,1,26,3,3,0,1
173,35,No,Research & Development,2,Medical,Female,2,Laboratory Technician,Single,54060,0,Y,12,8,1,6,2,5,4,3
174,54,No,Research & Development,4,Medical,Male,2,Human Resources,Single,89380,7,Y,11,8,3,19,2,1,0,0
175,34,No,Sales,2,Life Sciences,Male,1,Laboratory Technician,Divorced,24390,3,Y,11,8,2,14,2,7,5,7
176,46,No,Research & Development,3,Life Sciences,Male,1,Healthcare Representative,Married,88370,2,Y,18,8,0,15,3,3,1,2
177,31,No,Research & Development,3,Life Sciences,Male,2,Research Director,Divorced,53430,1,Y,14,8,1,13,3,13,0,8
178,33,Yes,Research & Development,3,Life Sciences,Female,4,Research Director,Married,67280,7,Y,22,8,0,15,2,7,7,7
179,33,Yes,Sales,4,Marketing,Male,2,Research Director,Divorced,66520,7,Y,25,8,0,8,5,4,1,3
180,30,No,Research & Development,3,Life Sciences,Male,1,Sales Executive,Single,48500,0,Y,12,8,1,4,4,3,1,2
181,35,No,Research & Development,2,Medical,Female,2,Sales Representative,Married,28090,4,Y,23,8,1,10,2,8,0,0
182,31,Yes,Research & Development,2,Medical,Female,2,Sales Executive,Married,56890,3,Y,15,8,2,12,2,1,0,0
183,34,Yes,Sales,1,Marketing,Male,1,Research Director,Divorced,20010,9,Y,22,8,1,11,5,3,0,2
184,42,No,Research & Development,4,Medical,Female,1,Research Scientist,Married,29770,4,Y,15,8,3,8,3,2,2,0
185,36,No,Research & Development,4,Medical,Male,1,Research Scientist,Single,40250,1,Y,11,8,0,10,3,10,9,7
186,22,Yes,Research & Development,3,Medical,Female,2,Laboratory Technician,Single,37850,5,Y,13,8,2,4,2,2,1,2
187,48,No,Research & Development,3,Medical,Male,1,Laboratory Technician,Married,108540,2,Y,14,8,1,14,6,9,6,7
188,55,No,Research & Development,3,Medical,Female,1,Sales Executive,Single,120310,3,Y,11,8,0,37,5,10,7,7
189,41,No,Research & Development,2,Life Sciences,Female,2,Research Scientist,Single,99360,7,Y,17,8,1,16,2,14,1,10
190,35,No,Research & Development,3,Medical,Female,1,Sales Representative,Married,29660,9,Y,18,8,0,15,2,11,6,9
191,40,No,Research & Development,3,Life Sciences,Female,2,Laboratory Technician,Single,25710,7,Y,14,8,0,22,1,20,5,13
192,39,No,Research & Development,1,Medical,Male,1,Research Scientist,Married,99910,1,Y,16,8,1,8,3,8,0,7
193,31,No,Research & Development,4,Life Sciences,Male,3,Research Director,Single,61420,4,Y,13,8,2,10,2,6,0,5
194,42,No,Research & Development,3,Medical,Male,3,Sales Executive,Married,53900,1,Y,14,8,0,10,3,10,5,8
195,45,No,Research & Development,1,Medical,Female,4,Sales Executive,Married,44040,0,Y,23,8,0,9,2,8,3,7
196,26,Yes,Research & Development,1,Life Sciences,Female,2,Laboratory Technician,Divorced,59930,0,Y,12,8,0,8,3,7,1,0
197,29,No,Research & Development,3,Medical,Male,1,Research Scientist,Divorced,51300,4,Y,11,8,0,8,3,3,1,2
198,33,No,Research & Development,3,Medical,Female,1,Laboratory Technician,Divorced,20900,4,Y,16,8,0,10,2,6,0,5
199,31,No,Research & Development,4,Life Sciences,Female,1,Sales Executive,Divorced,29090,9,Y,14,8,2,10,2,5,0,1
200,18,Yes,Research & Development,3,Technical Degree,Male,1,Sales Executive,Single,34680,1,Y,18,8,2,0,4,0,0,0
201,40,No,Research & Development,4,Technical Degree,Female,2,Laboratory Technician,Divorced,30680,3,Y,19,8,0,20,3,1,0,1
202,41,No,Research & Development,3,Life Sciences,Male,2,Manufacturing Director,Single,26700,2,Y,15,8,2,10,2,8,0,7
203,26,No,Research & Development,4,Medical,Male,3,Healthcare Representative,Divorced,26930,5,Y,17,8,3,8,3,0,0,0
204,35,No,Research & Development,4,Medical,Male,2,Human Resources,Single,95260,1,Y,15,8,0,5,2,5,0,3
205,34,No,Research & Development,3,Medical,Male,1,Laboratory Technician,Single,52370,1,Y,19,8,1,10,3,10,5,7
206,26,Yes,Sales,3,Marketing,Female,2,Manufacturing Director,Single,24260,1,Y,22,8,0,1,3,1,0,0
207,37,No,Research & Development,1,Life Sciences,Male,1,Sales Executive,Single,41930,4,Y,16,8,1,12,5,6,1,2
208,46,No,Research & Development,1,Medical,Male,5,Human Resources,Married,29110,5,Y,13,8,0,28,3,2,1,2
209,41,No,Research & Development,1,Life Sciences,Male,1,Research Director,Married,26610,7,Y,14,8,1,22,2,18,11,8
210,37,No,Research & Development,2,Medical,Male,1,Sales Executive,Divorced,20280,1,Y,16,8,1,9,3,9,7,7
211,52,No,Sales,1,Medical,Male,1,Laboratory Technician,Divorced,99800,NA,Y,11,8,1,18,2,10,6,9
212,32,Yes,Research & Development,2,Life Sciences,Female,2,Research Director,Married,32980,8,Y,22,8,0,6,4,4,1,2
213,24,No,Sales,3,Life Sciences,Female,1,Healthcare Representative,Married,29350,0,Y,14,8,2,3,5,2,2,1
214,38,No,Research & Development,3,Life Sciences,Female,1,Research Scientist,Married,154270,3,Y,16,8,1,18,2,1,0,0
215,37,No,Research & Development,4,Technical Degree,Female,5,Research Scientist,Married,39440,6,Y,11,8,2,8,3,6,4,3
216,49,No,Sales,1,Life Sciences,Male,1,Sales Executive,Divorced,40110,1,Y,18,8,2,31,2,31,0,9
217,24,No,Sales,3,Marketing,Female,1,Sales Executive,Married,34070,1,Y,15,8,2,6,2,6,1,4
218,26,No,Research & Development,4,Technical Degree,Female,4,Sales Executive,Married,119940,1,Y,14,8,1,6,6,5,1,4
219,24,No,Sales,3,Medical,Female,1,Laboratory Technician,Married,12320,1,Y,12,8,0,1,4,1,0,0
220,50,No,Sales,2,Marketing,Male,1,Sales Executive,Married,29600,1,Y,14,8,3,32,2,32,10,7
221,25,No,Research & Development,3,Life Sciences,Male,1,Research Scientist,Married,190940,1,Y,16,8,0,7,3,7,0,6
222,24,Yes,Research & Development,3,Medical,Male,2,Research Scientist,Married,39190,1,Y,21,8,0,6,3,6,1,2
223,30,Yes,Research & Development,3,Other,Male,2,Healthcare Representative,Married,68250,1,Y,14,8,0,1,2,1,0,0
224,34,No,Sales,2,Life Sciences,Male,4,Research Director,Married,102480,1,Y,12,8,1,6,4,6,1,3
225,31,Yes,Research & Development,1,Medical,Female,1,Sales Representative,Divorced,189470,2,Y,12,8,2,9,2,3,1,2
226,35,No,Research & Development,3,Life Sciences,Female,5,Sales Executive,Single,24960,4,Y,17,8,3,9,3,3,0,2
227,31,No,Sales,3,Marketing,Female,2,Sales Executive,Divorced,64650,4,Y,17,8,0,13,3,7,5,7
228,27,No,Sales,4,Medical,Male,1,Sales Representative,Divorced,22060,0,Y,14,8,1,6,4,5,0,3
229,37,No,Sales,4,Marketing,Female,2,Laboratory Technician,Married,20860,4,Y,14,8,0,17,3,3,1,0
230,20,No,Research & Development,4,Medical,Female,1,Sales Representative,Single,22930,1,Y,13,8,2,1,3,1,0,0
231,42,No,Research & Development,4,Life Sciences,Female,2,Manufacturing Director,Married,26450,1,Y,15,8,0,10,5,10,2,2
